name,NPV,Buildings_Q_DH,Buildings_Q_DC,Buildings_eleHP_H,Buildings_eleHP_C,Buildings_inputEnergy_IH,Buildings_inputEnergy_IC,Buildings_elePumping,DES_inputEnergy_H,DES_inputEnergy_C,Pipes_HeatLoss_Q,Total_Pipe_Length,Office1,Office2,Office3,HeatPump,Pipe_Office1_Office2,Pipe_Office1_Office3,Pipe_Office1_HeatPump,Pipe_Office2_Office3,Pipe_Office2_HeatPump,Pipe_Office3_HeatPump
case14,74660.74264755909,30344690000.0,142543290000.0,12211334000.0,26225674000.0,6829038600.0,25877930000.0,764247300.0,31221983000.0,138065740000.0,-8816743000.0,34.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
case13,71112.0509251574,30372893000.0,142550170000.0,12202549000.0,26226400000.0,6829636600.0,25879142000.0,1479054300.0,30784424000.0,138831350000.0,-6823784000.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
case25,94900.90211861854,45392384000.0,213793850000.0,18358297000.0,39327293000.0,0.0,0.0,1974105300.0,48617260000.0,203782320000.0,-21785786000.0,87.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
case22,71882.03773689034,45558817000.0,213803930000.0,18304872000.0,39333745000.0,0.0,0.0,3880750300.0,46172045000.0,208229970000.0,-10151675000.0,39.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
case49,105744.96911973342,45445804000.0,213791750000.0,18338960000.0,39331220000.0,0.0,0.0,1259648400.0,47849650000.0,205327750000.0,-17855138000.0,110.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
case47,109327.63575054223,45342090000.0,213788500000.0,18372045000.0,39323873000.0,0.0,0.0,1735463400.0,49218404000.0,202407920000.0,-25291200000.0,116.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
case40,92239.52054771794,45445284000.0,213810230000.0,18338034000.0,39335100000.0,0.0,0.0,1259628800.0,47801180000.0,205343980000.0,-17775018000.0,83.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
case23,74567.00711538238,45531470000.0,213824630000.0,18313378000.0,39340570000.0,0.0,0.0,1974905600.0,46632382000.0,207472160000.0,-12195571000.0,47.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
case24,92237.41599734234,45423985000.0,213814130000.0,18352163000.0,39331123000.0,0.0,0.0,3880445700.0,48230670000.0,204522270000.0,-19905098000.0,79.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
case12,78235.9495182335,30320583000.0,142531620000.0,12219487000.0,26220827000.0,6828745000.0,25877020000.0,1478841900.0,31536450000.0,137501800000.0,-10287653000.0,40.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
case15,82663.37134938981,30343117000.0,142530480000.0,12212133000.0,26222014000.0,6828587500.0,25877395000.0,764253760.0,31256762000.0,138052620000.0,-8881155000.0,50.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
case41,82630.49412587503,45466624000.0,213790210000.0,18329762000.0,39330333000.0,0.0,0.0,1894575000.0,47384350000.0,206015370000.0,-15894692000.0,63.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
case46,93737.31136122704,45446087000.0,213795390000.0,18338003000.0,39330574000.0,0.0,0.0,1259711200.0,47808040000.0,205336890000.0,-17768466000.0,86.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
