name,NPV,Buildings_Q_DH,Buildings_Q_DC,Buildings_eleHP_H,Buildings_eleHP_C,Buildings_Q_IH,Buildings_Q_IC,Buildings_elePumping,DES_Q_H,DES_Q_C,Pipes_HeatLoss_Q,Total_Pipe_Length,MediumOffice,Retail,MultiFamily,NewDistrictSystem,Pipe_MediumOffice_Retail,Pipe_MediumOffice_MultiFamily,Pipe_MediumOffice_NewDistrictSystem,Pipe_Retail_MultiFamily,Pipe_Retail_NewDistrictSystem,Pipe_MultiFamily_NewDistrictSystem
case14,275878034768.3999,-29896733000.0,4705724400.0,25920000.0,25920000.0,432000000.0,432000000.0,126752540.0,42747572000.0,-7.3638484e-11,-76097946000.0,131.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
case13,276135153775.6001,-29896632000.0,4705700000.0,25920000.0,25920000.0,432000000.0,432000000.0,216752450.0,42698387000.0,-0.00027744705,-76075980000.0,130.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
case25,401035395246.79987,-44845093000.0,7058375700.0,25920000.0,25920000.0,0.0,0.0,289529920.0,63315042000.0,-3.262565e-23,-118070714000.0,248.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
case22,407705626019.20013,-44844786000.0,7058473000.0,25920000.0,25920000.0,0.0,0.0,529503700.0,64133833000.0,-1.03329295e-14,-110295670000.0,229.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
case49,398770154963.5999,-44844890000.0,7058666500.0,25920000.0,25920000.0,0.0,0.0,199418820.0,63045590000.0,-5.321751e-23,-118874510000.0,432.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
case47,400250653344.0,-44844970000.0,7058583600.0,25920000.0,25920000.0,0.0,0.0,259413810.0,63220593000.0,-3.7479795e-23,-115307840000.0,392.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
case40,398770306442.4001,-44844930000.0,7058425000.0,25920000.0,25920000.0,0.0,0.0,199416690.0,63045616000.0,-5.355943e-23,-118874160000.0,373.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
case23,402358432797.5999,-44844810000.0,7058352600.0,25920000.0,25920000.0,0.0,0.0,289324350.0,63525253000.0,-2.4932207e-09,-110196360000.0,230.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
case24,400874786161.5999,-44844980000.0,7058632700.0,25920000.0,25920000.0,0.0,0.0,529985200.0,63049093000.0,-1.7031496e-23,-119669390000.0,247.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
case12,280623846736.0,-29896464000.0,4705770500.0,25920000.0,25920000.0,432000000.0,432000000.0,216661950.0,43410964000.0,-3.8838708e-23,-66639190000.0,91.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
case15,275875868515.2001,-29896622000.0,4705558500.0,25920000.0,25920000.0,432000000.0,432000000.0,126750520.0,42747232000.0,-1.8057548e-23,-76097330000.0,176.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
case41,404877938395.20013,-44845050000.0,7058480600.0,25920000.0,25920000.0,0.0,0.0,279337760.0,63935160000.0,-3.4099103e-23,-113450140000.0,275.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
case46,398768189268.79987,-44844790000.0,7058506000.0,25920000.0,25920000.0,0.0,0.0,199417730.0,63045280000.0,-5.321756e-23,-118876320000.0,319.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
case48,394888648537.20013,-44844790000.0,7058380300.0,25920000.0,25920000.0,0.0,0.0,259449870.0,62369448000.0,-3.7476775e-23,-122622970000.0,431.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
case1,139234457596.39993,-14948426000.0,2352784100.0,25920000.0,25920000.0,864000000.0,864000000.0,61550056.0,20259318000.0,-2.2566508e-23,-42651558000.0,143.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
case52,398768630900.4001,-44844870000.0,7058473000.0,25920000.0,25920000.0,0.0,0.0,199417310.0,63045350000.0,-5.3271726e-23,-118875680000.0,378.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
case6,272163022481.6001,-29896532000.0,4705601500.0,25920000.0,25920000.0,432000000.0,432000000.0,126769390.0,42157870000.0,-1.8090314e-23,-78160140000.0,189.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
case8,268052059083.6001,-29896468000.0,4705735700.0,25920000.0,25920000.0,432000000.0,432000000.0,216893010.0,41415213000.0,-2.2290639e-08,-82536325000.0,202.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
case37,404744373170.4,-44844798000.0,7058619000.0,25920000.0,25920000.0,0.0,0.0,259354260.0,63933944000.0,-1.9459571e-10,-111985530000.0,289.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
case30,399030956747.20013,-44845015000.0,7058562600.0,25920000.0,25920000.0,0.0,0.0,289421220.0,62996984000.0,-3.2626656e-23,-118853360000.0,273.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
case39,394890503132.79987,-44844855000.0,7058544000.0,25920000.0,25920000.0,0.0,0.0,259453820.0,62369740000.0,-3.8963105e-23,-122622920000.0,372.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
case9,274905761774.0,-29896528000.0,4705616000.0,25920000.0,25920000.0,432000000.0,432000000.0,216755340.0,42503238000.0,-6.0525973e-10,-76771000000.0,144.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
